,Geography,Percent 20-49,Percent Male 20-49,Median Age,County,State
561,0500000US39133,43.0,44.79999999999999,40.1,Portage County,OH
562,0500000US39139,42.9,46.6,40.7,Richland County,OH
563,0500000US39141,45.300000000000004,48.60000000000001,41.6,Ross County,OH
564,0500000US39145,42.9,45.0,39.7,Scioto County,OH
565,0500000US39151,41.6,42.5,41.5,Stark County,OH
566,0500000US39153,44.0,45.6,41.4,Summit County,OH
567,0500000US39155,39.2,40.3,44.6,Trumbull County,OH
568,0500000US39157,40.8,40.300000000000004,40.9,Tuscarawas County,OH
569,0500000US39165,44.0,45.70000000000001,39.3,Warren County,OH
570,0500000US39169,39.800000000000004,42.3,39.9,Wayne County,OH
571,0500000US39173,47.8,48.4,36.0,Wood County,OH
572,0500000US40017,47.7,48.699999999999996,35.7,Canadian County,OK
573,0500000US40027,51.699999999999996,52.9,35.7,Cleveland County,OK
574,0500000US40031,51.50000000000001,53.900000000000006,33.0,Comanche County,OK
575,0500000US40037,41.800000000000004,43.1,40.5,Creek County,OK
576,0500000US40101,44.699999999999996,44.099999999999994,37.6,Muskogee County,OK
577,0500000US40109,48.300000000000004,48.900000000000006,35.4,Oklahoma County,OK
578,0500000US40119,54.400000000000006,60.8,28.6,Payne County,OK
579,0500000US40125,43.9,43.0,38.4,Pottawatomie County,OK
580,0500000US40131,44.1,44.19999999999999,39.5,Rogers County,OK
581,0500000US40143,46.8,47.5,36.2,Tulsa County,OK
582,0500000US40145,44.1,44.6,39.0,Wagoner County,OK
583,0500000US41003,51.5,54.400000000000006,33.5,Benton County,OR
584,0500000US41005,43.8,44.0,41.9,Clackamas County,OR
585,0500000US41017,45.4,46.6,42.6,Deschutes County,OR
586,0500000US41019,37.599999999999994,39.2,46.7,Douglas County,OR
587,0500000US41029,42.1,43.0,42.1,Jackson County,OR
588,0500000US41033,36.400000000000006,35.199999999999996,48.5,Josephine County,OR
589,0500000US41035,40.4,38.4,40.9,Klamath County,OR
590,0500000US41039,47.400000000000006,47.900000000000006,40.5,Lane County,OR
591,0500000US41043,42.599999999999994,42.3,40.3,Linn County,OR
592,0500000US41047,46.400000000000006,48.0,37.1,Marion County,OR
593,0500000US41051,56.2,56.699999999999996,38.4,Multnomah County,OR
594,0500000US41053,43.599999999999994,43.4,37.4,Polk County,OR
595,0500000US41059,46.2,48.0,37.4,Umatilla County,OR
596,0500000US41067,51.199999999999996,52.1,38.1,Washington County,OR
597,0500000US41071,44.2,46.7,39.9,Yamhill County,OR
598,0500000US42001,38.6,39.7,43.9,Adams County,PA
599,0500000US42003,46.199999999999996,48.0,40.6,Allegheny County,PA
600,0500000US42005,38.0,38.9,47.3,Armstrong County,PA
601,0500000US42007,40.5,41.400000000000006,44.7,Beaver County,PA
602,0500000US42011,43.0,43.900000000000006,39.8,Berks County,PA
603,0500000US42013,40.7,42.0,43.6,Blair County,PA
604,0500000US42017,40.5,40.900000000000006,44.1,Bucks County,PA
605,0500000US42019,40.1,41.0,43.5,Butler County,PA
606,0500000US42021,38.099999999999994,39.6,46.0,Cambria County,PA
607,0500000US42025,38.2,39.699999999999996,45.2,Carbon County,PA
608,0500000US42027,50.800000000000004,54.1,34.2,Centre County,PA
609,0500000US42029,42.300000000000004,43.4,40.7,Chester County,PA
610,0500000US42033,41.7,45.6,45.5,Clearfield County,PA
611,0500000US42039,39.3,39.8,43.9,Crawford County,PA
612,0500000US42041,43.6,45.4,40.4,Cumberland County,PA
613,0500000US42043,45.0,45.599999999999994,39.8,Dauphin County,PA
614,0500000US42045,43.900000000000006,44.60000000000001,39.2,Delaware County,PA
615,0500000US42049,42.2,44.1,40.6,Erie County,PA
616,0500000US42051,40.199999999999996,41.199999999999996,45.6,Fayette County,PA
617,0500000US42055,41.3,41.699999999999996,42.1,Franklin County,PA
618,0500000US42063,41.2,42.800000000000004,40.8,Indiana County,PA
619,0500000US42069,42.1,42.699999999999996,42.1,Lackawanna County,PA
620,0500000US42071,42.599999999999994,42.8,39.3,Lancaster County,PA
621,0500000US42073,38.1,39.9,44.9,Lawrence County,PA
622,0500000US42075,40.8,40.7,40.5,Lebanon County,PA
623,0500000US42077,44.900000000000006,45.7,39.1,Lehigh County,PA
624,0500000US42079,42.800000000000004,44.800000000000004,41.9,Luzerne County,PA
625,0500000US42081,42.50000000000001,43.599999999999994,40.8,Lycoming County,PA
626,0500000US42085,39.699999999999996,41.1,44.8,Mercer County,PA
627,0500000US42089,41.9,41.099999999999994,43.7,Monroe County,PA
628,0500000US42091,43.3,44.699999999999996,41.2,Montgomery County,PA
629,0500000US42095,42.2,43.6,41.8,Northampton County,PA
630,0500000US42097,39.89999999999999,41.300000000000004,44.6,Northumberland County,PA
631,0500000US42101,53.1,53.699999999999996,35.2,Philadelphia County,PA
632,0500000US42107,41.2,44.2,43.9,Schuylkill County,PA
633,0500000US42111,39.4,42.8,46.8,Somerset County,PA
634,0500000US42125,40.2,41.400000000000006,44.0,Washington County,PA
635,0500000US42129,38.300000000000004,39.49999999999999,47.3,Westmoreland County,PA
636,0500000US42133,41.9,42.6,40.9,York County,PA
637,0500000US44003,43.4,44.800000000000004,43.4,Kent County,RI
638,0500000US44005,40.1,42.1,46.7,Newport County,RI
639,0500000US44007,47.900000000000006,48.60000000000001,37.9,Providence County,RI
640,0500000US44009,39.199999999999996,40.4,46.2,Washington County,RI
641,0500000US45003,41.2,40.4,41.3,Aiken County,SC
642,0500000US45007,42.5,42.1,41.0,Anderson County,SC
643,0500000US45013,35.7,38.3,47.6,Beaufort County,SC
644,0500000US45015,46.8,47.4,37.0,Berkeley County,SC
645,0500000US45019,48.9,49.800000000000004,39.1,Charleston County,SC
646,0500000US45035,46.199999999999996,46.5,38.3,Dorchester County,SC
647,0500000US45041,42.6,41.7,40.0,Florence County,SC
648,0500000US45045,46.0,46.0,38.5,Greenville County,SC
649,0500000US45047,42.099999999999994,42.3,39.3,Greenwood County,SC
650,0500000US45051,37.1,37.6,49.1,Horry County,SC
651,0500000US45055,39.4,41.1,41.3,Kershaw County,SC
652,0500000US45057,39.9,39.099999999999994,40.3,Lancaster County,SC
653,0500000US45059,42.1,45.699999999999996,41.3,Laurens County,SC
654,0500000US45063,44.1,44.2,39.6,Lexington County,SC
655,0500000US45073,39.0,40.7,47.2,Oconee County,SC
656,0500000US45075,39.199999999999996,40.2,41.1,Orangeburg County,SC
657,0500000US45077,45.9,47.699999999999996,35.9,Pickens County,SC
658,0500000US45079,50.00000000000001,50.699999999999996,34.2,Richland County,SC
659,0500000US45083,45.0,46.1,38.1,Spartanburg County,SC
660,0500000US45085,43.1,46.400000000000006,36.8,Sumter County,SC
661,0500000US45091,44.099999999999994,44.6,39.5,York County,SC
662,0500000US46083,47.599999999999994,48.3,35.6,Lincoln County,SD
663,0500000US46099,48.7,49.7,35.9,Minnehaha County,SD
664,0500000US46103,41.4,42.099999999999994,40.0,Pennington County,SD
665,0500000US47001,42.599999999999994,43.6,41.1,Anderson County,TN
666,0500000US47009,40.8,41.400000000000006,42.7,Blount County,TN
667,0500000US47011,43.9,43.7,39.6,Bradley County,TN
668,0500000US47037,57.300000000000004,57.6,35.0,Davidson County,TN
669,0500000US47059,39.699999999999996,42.0,45.8,Greene County,TN
670,0500000US47065,45.49999999999999,45.5,39.4,Hamilton County,TN
671,0500000US47093,48.1,49.199999999999996,37.7,Knox County,TN
672,0500000US47113,42.49999999999999,42.0,38.5,Madison County,TN
673,0500000US47119,44.900000000000006,47.0,39.9,Maury County,TN
674,0500000US47125,54.4,56.300000000000004,31.9,Montgomery County,TN
675,0500000US47141,47.1,48.699999999999996,37.9,Putnam County,TN
676,0500000US47147,44.00000000000001,44.49999999999999,39.9,Robertson County,TN
677,0500000US47149,52.0,52.800000000000004,34.6,Rutherford County,TN
678,0500000US47155,41.800000000000004,41.6,43.5,Sevier County,TN
679,0500000US47157,47.4,47.5,35.8,Shelby County,TN
680,0500000US47163,41.7,42.5,45.2,Sullivan County,TN
681,0500000US47165,43.9,43.8,40.5,Sumner County,TN
682,0500000US47179,45.1,44.800000000000004,41.1,Washington County,TN
683,0500000US47187,41.5,41.0,40.2,Williamson County,TN
684,0500000US47189,42.5,42.300000000000004,40.8,Wilson County,TN
685,0500000US48005,41.6,41.599999999999994,37.7,Angelina County,TX
686,0500000US48021,44.2,42.5,40.6,Bastrop County,TX
687,0500000US48027,51.2,52.8,31.7,Bell County,TX
688,0500000US48029,50.800000000000004,51.900000000000006,34.4,Bexar County,TX
689,0500000US48037,43.4,46.6,38.1,Bowie County,TX
690,0500000US48039,48.4,49.4,36.2,Brazoria County,TX
691,0500000US48041,56.4,58.1,28.2,Brazos County,TX
692,0500000US48061,45.1,46.2,32.6,Cameron County,TX
693,0500000US48085,48.400000000000006,48.699999999999996,37.6,Collin County,TX
694,0500000US48091,42.0,42.300000000000004,41.9,Comal County,TX
695,0500000US48099,57.2,56.8,32.7,Coryell County,TX
696,0500000US48113,51.7,51.900000000000006,34.0,Dallas County,TX
697,0500000US48121,50.8,50.8,36.8,Denton County,TX
698,0500000US48135,49.699999999999996,49.0,31.9,Ector County,TX
699,0500000US48139,45.5,44.6,36.3,Ellis County,TX
700,0500000US48141,49.6,51.9,33.0,El Paso County,TX
701,0500000US48157,46.699999999999996,45.5,36.9,Fort Bend County,TX
702,0500000US48167,45.800000000000004,46.0,38.2,Galveston County,TX
703,0500000US48181,40.4,39.900000000000006,40.7,Grayson County,TX
704,0500000US48183,43.6,42.4,36.2,Gregg County,TX
705,0500000US48187,46.0,47.50000000000001,37.6,Guadalupe County,TX
706,0500000US48201,50.5,51.0,34.4,Harris County,TX
707,0500000US48203,39.599999999999994,37.699999999999996,39.4,Harrison County,TX
708,0500000US48209,51.8,52.99999999999999,33.6,Hays County,TX
709,0500000US48213,39.3,36.7,42.9,Henderson County,TX
710,0500000US48215,46.7,47.4,30.1,Hidalgo County,TX
711,0500000US48231,45.3,45.599999999999994,37.2,Hunt County,TX
712,0500000US48245,46.5,49.7,36.3,Jefferson County,TX
713,0500000US48251,44.800000000000004,45.300000000000004,37.2,Johnson County,TX
714,0500000US48257,47.1,47.1,34.5,Kaufman County,TX
715,0500000US48291,44.4,42.6,35.6,Liberty County,TX
716,0500000US48303,50.99999999999999,52.3,31.6,Lubbock County,TX
717,0500000US48309,46.699999999999996,47.699999999999996,34.1,McLennan County,TX
718,0500000US48329,54.7,56.800000000000004,32.8,Midland County,TX
719,0500000US48339,44.800000000000004,44.7,37.6,Montgomery County,TX
720,0500000US48355,46.699999999999996,47.5,36.4,Nueces County,TX
721,0500000US48361,43.800000000000004,44.1,38.0,Orange County,TX
722,0500000US48367,43.5,44.9,39.3,Parker County,TX
723,0500000US48375,47.9,49.6,35.3,Potter County,TX
724,0500000US48381,46.599999999999994,46.5,36.0,Randall County,TX
725,0500000US48397,45.199999999999996,46.1,37.5,Rockwall County,TX
726,0500000US48409,44.9,45.6,35.7,San Patricio County,TX
727,0500000US48423,44.699999999999996,43.800000000000004,37.4,Smith County,TX
728,0500000US48427,45.4,45.5,28.4,Starr County,TX
729,0500000US48439,49.0,48.900000000000006,35.1,Tarrant County,TX
730,0500000US48441,48.8,49.3,33.3,Taylor County,TX
731,0500000US48451,45.5,48.1,35.3,Tom Green County,TX
732,0500000US48453,58.7,59.7,35.5,Travis County,TX
733,0500000US48469,44.300000000000004,43.4,36.3,Victoria County,TX
734,0500000US48471,53.39999999999999,58.2,33.3,Walker County,TX
735,0500000US48479,47.3,48.2,29.7,Webb County,TX
736,0500000US48485,47.8,52.4,34.6,Wichita County,TX
737,0500000US48491,50.1,50.4,36.9,Williamson County,TX
738,0500000US48497,42.1,41.7,39.0,Wise County,TX
739,0500000US49005,52.199999999999996,54.2,25.9,Cache County,UT
740,0500000US49011,47.99999999999999,48.3,32.3,Davis County,UT
741,0500000US49035,52.6,53.0,33.8,Salt Lake County,UT
742,0500000US49045,49.199999999999996,49.300000000000004,32.5,Tooele County,UT
743,0500000US49049,53.7,54.5,25.9,Utah County,UT
744,0500000US49053,40.6,41.900000000000006,39.2,Washington County,UT
745,0500000US49057,50.3,51.2,33.5,Weber County,UT
746,0500000US50007,50.4,50.39999999999999,37.4,Chittenden County,VT
747,0500000US51003,40.99999999999999,41.1,40.8,Albemarle County,VA
748,0500000US51013,65.39999999999999,65.30000000000001,35.9,Arlington County,VA
749,0500000US51015,39.8,42.099999999999994,44.6,Augusta County,VA
750,0500000US51019,36.8,36.9,47.1,Bedford County,VA
751,0500000US51041,44.099999999999994,44.300000000000004,39.2,Chesterfield County,VA
752,0500000US51059,46.7,47.199999999999996,38.8,Fairfax County,VA
753,0500000US51061,39.5,41.1,40.4,Fauquier County,VA
754,0500000US51069,41.8,42.099999999999994,40.2,Frederick County,VA
755,0500000US51085,38.599999999999994,39.199999999999996,43.1,Hanover County,VA
756,0500000US51087,46.4,46.800000000000004,39.3,Henrico County,VA
757,0500000US51095,35.7,37.0,47.1,James City County,VA
758,0500000US51107,46.599999999999994,46.5,37.6,Loudoun County,VA
759,0500000US51121,53.099999999999994,55.4,30.2,Montgomery County,VA
760,0500000US51153,47.7,47.8,36.1,Prince William County,VA
761,0500000US51161,40.1,41.900000000000006,45.1,Roanoke County,VA
762,0500000US51165,42.400000000000006,43.3,39.9,Rockingham County,VA
763,0500000US51177,44.5,43.89999999999999,38.3,Spotsylvania County,VA
764,0500000US51179,47.9,49.0,36.6,Stafford County,VA
765,0500000US51199,45.00000000000001,45.3,39.8,York County,VA
766,0500000US51510,60.0,60.7,37.2,Alexandria city,VA
767,0500000US51550,45.89999999999999,48.0,37.8,Chesapeake city,VA
768,0500000US51650,49.199999999999996,50.300000000000004,36.0,Hampton city,VA
769,0500000US51680,52.8,55.400000000000006,27.6,Lynchburg city,VA
770,0500000US51700,49.9,50.8,34.5,Newport News city,VA
771,0500000US51710,60.1,65.10000000000001,31.3,Norfolk city,VA
772,0500000US51740,48.2,48.599999999999994,35.6,Portsmouth city,VA
773,0500000US51760,59.599999999999994,61.099999999999994,34.8,Richmond city,VA
774,0500000US51770,48.099999999999994,49.2,37.6,Roanoke city,VA
775,0500000US51800,44.7,44.300000000000004,39.0,Suffolk city,VA
776,0500000US51810,49.99999999999999,51.8,37.1,Virginia Beach city,VA
777,0500000US53005,45.400000000000006,45.6,36.4,Benton County,WA
778,0500000US53007,42.00000000000001,44.0,39.3,Chelan County,WA
779,0500000US53009,35.400000000000006,38.1,51.5,Clallam County,WA
780,0500000US53011,45.9,46.5,39.2,Clark County,WA
781,0500000US53015,41.4,41.300000000000004,41.6,Cowlitz County,WA
782,0500000US53021,46.4,45.8,30.7,Franklin County,WA
783,0500000US53025,45.7,46.9,33.9,Grant County,WA
784,0500000US53027,39.5,42.7,44.5,Grays Harbor County,WA
785,0500000US53029,41.6,45.0,44.2,Island County,WA
786,0500000US53033,54.800000000000004,56.5,37.4,King County,WA
787,0500000US53035,47.60000000000001,50.9,40.0,Kitsap County,WA
788,0500000US53041,40.699999999999996,39.699999999999996,42.3,Lewis County,WA
789,0500000US53045,40.7,44.0,44.4,Mason County,WA
790,0500000US53053,49.4,50.800000000000004,36.9,Pierce County,WA
791,0500000US53057,41.7,41.599999999999994,41.6,Skagit County,WA
792,0500000US53061,48.5,49.3,38.3,Snohomish County,WA
793,0500000US53063,47.6,48.800000000000004,37.9,Spokane County,WA
794,0500000US53067,46.199999999999996,47.0,39.3,Thurston County,WA
795,0500000US53073,48.1,48.900000000000006,38.8,Whatcom County,WA
796,0500000US53077,44.99999999999999,45.1,32.8,Yakima County,WA
797,0500000US54003,45.8,45.300000000000004,38.5,Berkeley County,WV
798,0500000US54011,45.7,47.5,39.7,Cabell County,WV
799,0500000US54033,41.7,42.0,42.4,Harrison County,WV
800,0500000US54039,41.900000000000006,42.0,43.7,Kanawha County,WV
801,0500000US54061,56.2,56.6,33.0,Monongalia County,WV
802,0500000US54081,40.8,42.0,43.1,Raleigh County,WV
803,0500000US54107,40.3,41.400000000000006,43.4,Wood County,WV
804,0500000US55009,45.300000000000004,46.3,38.3,Brown County,WI
805,0500000US55017,40.3,42.4,42.9,Chippewa County,WI
806,0500000US55025,52.800000000000004,54.60000000000001,35.9,Dane County,WI
807,0500000US55027,43.5,46.00000000000001,42.4,Dodge County,WI
808,0500000US55035,48.6,50.099999999999994,35.5,Eau Claire County,WI
809,0500000US55039,42.5,43.2,41.8,Fond du Lac County,WI
810,0500000US55055,41.5,42.3,42.9,Jefferson County,WI
811,0500000US55059,44.099999999999994,45.7,39.9,Kenosha County,WI
812,0500000US55063,46.89999999999999,48.099999999999994,36.5,La Crosse County,WI
813,0500000US55071,39.2,38.800000000000004,44.6,Manitowoc County,WI
814,0500000US55073,41.1,41.800000000000004,41.4,Marathon County,WI
815,0500000US55079,49.7,49.8,35.4,Milwaukee County,WI
816,0500000US55087,44.7,46.3,38.2,Outagamie County,WI
817,0500000US55089,38.1,39.5,43.7,Ozaukee County,WI
818,0500000US55097,45.800000000000004,46.599999999999994,38.5,Portage County,WI
819,0500000US55101,43.1,44.89999999999999,40.4,Racine County,WI
820,0500000US55105,43.2,43.1,39.9,Rock County,WI
821,0500000US55109,42.5,42.7,40.7,St. Croix County,WI
822,0500000US55111,40.8,41.4,41.0,Sauk County,WI
823,0500000US55117,42.0,43.699999999999996,41.6,Sheboygan County,WI
824,0500000US55127,41.39999999999999,41.400000000000006,41.3,Walworth County,WI
825,0500000US55131,40.1,41.6,43.4,Washington County,WI
826,0500000US55133,39.7,40.5,43.5,Waukesha County,WI
827,0500000US55139,46.4,47.7,38.4,Winnebago County,WI
828,0500000US55141,39.2,40.900000000000006,43.0,Wood County,WI
829,0500000US56021,45.5,46.400000000000006,38.8,Laramie County,WY
830,0500000US56025,44.9,46.1,37.5,Natrona County,WY
831,0500000US72013,44.5,46.89999999999999,45.1,Arecibo Municipio,PR
832,0500000US72021,46.3,50.0,43.8,Bayamón Municipio,PR
833,0500000US72025,45.9,47.300000000000004,44.2,Caguas Municipio,PR
834,0500000US72031,45.3,47.8,44.8,Carolina Municipio,PR
835,0500000US72061,44.199999999999996,49.2,47.0,Guaynabo Municipio,PR
836,0500000US72097,42.99999999999999,46.5,42.6,Mayagüez Municipio,PR
837,0500000US72113,44.0,46.800000000000004,43.9,Ponce Municipio,PR
838,0500000US72127,44.099999999999994,45.6,45.3,San Juan Municipio,PR
839,0500000US72135,48.4,52.2,40.4,Toa Alta Municipio,PR
840,0500000US72137,47.1,49.7,42.8,Toa Baja Municipio,PR
841,0500000US72139,47.400000000000006,48.7,43.5,Trujillo Alto Municipio,PR
