state,county,overall pop,u18 pop,18-24 pop,male pop,female pop
AK,Anchorage,2320.0,328.0,203.0,1417.0,892.0
AK,Juneau,826.0,146.0,58.0,503.0,321.0
AL,Jefferson County,943.0,82.0,43.0,665.0,266.0
AL,Lauderdale,232.0,56.0,18.0,62.0,170.0
AL,Madison County,549.0,106.0,38.0,314.0,231.0
AL,Mobile County,585.0,148.0,30.0,352.0,230.0
AL,Montgomery County,1213.0,392.0,77.0,566.0,646.0
AL,Tuscaloosa County,40.0,4.0,0.0,20.0,20.0
AR,Garland County,814.0,50.0,87.0,494.0,317.0
AR,Jefferson County,69.0,10.0,7.0,45.0,24.0
AR,Pulaski County,2085.0,243.0,243.0,1327.0,749.0
AR,Washington County,343.0,80.0,16.0,216.0,123.0
AZ,Maricopa County,20352.0,2731.0,1608.0,13115.0,7152.0
AZ,Pima County,2227.0,232.0,225.0,1333.0,869.0
CA,Alameda County,9747.0,583.0,804.0,6036.0,3576.0
CA,Amador,625.0,49.0,28.0,367.0,256.0
CA,CAL Fire Contract Counties,1603.0,167.0,99.0,1067.0,518.0
CA,CAL Fire Northern Region,29026.0,2138.0,2526.0,18174.0,10055.0
CA,CAL Fire Southern Region,95602.0,9846.0,4324.0,62233.0,31523.0
CA,El Dorado,511.0,14.0,84.0,325.0,167.0
CA,Glenn,340.0,107.0,16.0,179.0,161.0
CA,Humboldt County,1648.0,47.0,61.0,1181.0,454.0
CA,Inyo,140.0,31.0,7.0,82.0,57.0
CA,Kings County,1235.0,87.0,70.0,769.0,461.0
CA,Lake,339.0,27.0,25.0,214.0,124.0
CA,Los Angeles County,3808.0,111.0,169.0,2669.0,1060.0
CA,Merced County,855.0,152.0,63.0,536.0,316.0
CA,Monterey County,2404.0,241.0,226.0,1717.0,656.0
CA,Napa County,495.0,17.0,29.0,321.0,170.0
CA,Placer,1277.0,119.0,68.0,769.0,499.0
CA,Riverside County,3316.0,257.0,312.0,2111.0,1185.0
CA,San Joaquin County,2319.0,329.0,96.0,1421.0,891.0
CA,Santa Clara County,10028.0,539.0,1190.0,6099.0,3722.0
CA,Solano County,1179.0,65.0,67.0,771.0,387.0
CA,Sonoma County,2893.0,106.0,507.0,1814.0,1005.0
CA,Sutter,1094.0,276.0,64.0,574.0,518.0
CA,Tehama,291.0,40.0,14.0,187.0,104.0
CA,Tulare County,1235.0,87.0,70.0,769.0,461.0
CA,Yolo County,746.0,91.0,47.0,473.0,272.0
CO,Denver,8199.0,956.0,428.0,5015.0,3073.0
CO,El Paso County,1406.0,283.0,110.0,855.0,528.0
CT,Greater Bridgeport COG,603.0,120.0,44.0,365.0,237.0
CT,Hartford,2327.0,440.0,161.0,1382.0,940.0
DC,Washington,4410.0,600.0,509.0,2722.0,1636.0
DE,New Castle County,2369.0,769.0,200.0,1234.0,1129.0
FL,Alachua County,925.0,85.0,38.0,605.0,316.0
FL,Bay County,378.0,27.0,21.0,234.0,139.0
FL,Brevard County,916.0,131.0,30.0,654.0,261.0
FL,Broward County,2054.0,252.0,67.0,1401.0,651.0
FL,Charlotte County,148.0,25.0,11.0,100.0,48.0
FL,Citrus,745.0,152.0,58.0,424.0,321.0
FL,Collier,462.0,104.0,20.0,269.0,191.0
FL,Columbia,488.0,102.0,21.0,292.0,194.0
FL,Duval County,1279.0,202.0,73.0,843.0,434.0
FL,Escambia County,727.0,21.0,20.0,544.0,179.0
FL,Highlands,650.0,40.0,0.0,460.0,190.0
FL,Hillsborough County,1513.0,290.0,50.0,974.0,534.0
FL,Indian River,846.0,178.0,49.0,518.0,325.0
FL,Lee County,560.0,98.0,32.0,341.0,219.0
FL,Leon County,621.0,102.0,16.0,375.0,245.0
FL,Marion County,455.0,86.0,15.0,293.0,162.0
FL,Miami-Dade County,3276.0,669.0,190.0,2027.0,1232.0
FL,Monroe County,526.0,44.0,13.0,394.0,130.0
FL,Okaloosa,403.0,42.0,27.0,246.0,154.0
FL,Orange County,2151.0,550.0,125.0,1278.0,864.0
FL,Pasco,589.0,84.0,28.0,352.0,237.0
FL,Pinellas County,1985.0,299.0,58.0,1300.0,677.0
FL,Polk County,506.0,99.0,25.0,306.0,199.0
FL,Sarasota County,1138.0,111.0,59.0,768.0,369.0
FL,St. Johns,349.0,25.0,17.0,212.0,137.0
FL,Volusia County,865.0,196.0,44.0,513.0,351.0
GA,Athens-Clarke County,283.0,59.0,23.0,146.0,136.0
GA,Chatham County,523.0,136.0,33.0,366.0,157.0
GA,Cobb County,380.0,93.0,17.0,204.0,175.0
GA,DeKalb,565.0,179.0,42.0,288.0,276.0
GA,Fulton County,9374.0,1581.0,543.0,5557.0,3766.0
GA,Muscogee County,243.0,8.0,11.0,127.0,116.0
GA,Richmond County,549.0,60.0,29.0,394.0,154.0
HI,Honolulu,2022.0,320.0,97.0,1174.0,841.0
HI,Honolulu County,3945.0,545.0,208.0,2452.0,1450.0
IA,Linn,1601.0,383.0,120.0,901.0,689.0
IA,Polk County,2419.0,485.0,165.0,1472.0,931.0
IA,Woodbury,212.0,39.0,4.0,146.0,64.0
ID,Ada County,1998.0,459.0,132.0,1123.0,867.0
IL,Adams County,97.0,35.0,16.0,48.0,49.0
IL,Champaign County,137.0,34.0,24.0,84.0,53.0
IL,Cook,1096.0,321.0,117.0,592.0,498.0
IL,Cook County,3875.0,626.0,328.0,2603.0,1243.0
IL,Cumberland,157.0,33.0,14.0,76.0,80.0
IL,DuPage,555.0,194.0,95.0,262.0,284.0
IL,Kane,391.0,49.0,30.0,258.0,132.0
IL,Lake County,862.0,276.0,70.0,422.0,434.0
IL,Macon County,93.0,12.0,3.0,66.0,26.0
IL,Madison,96.0,28.0,2.0,50.0,46.0
IL,McHenry,92.0,13.0,10.0,53.0,38.0
IL,McHenry County,92.0,13.0,10.0,53.0,38.0
IL,McLean County,241.0,41.0,38.0,139.0,98.0
IL,Peoria County,337.0,53.0,16.0,205.0,131.0
IL,Richland,248.0,67.0,12.0,125.0,123.0
IL,Rock Island County,280.0,25.0,49.0,159.0,121.0
IL,Saint Clair County,197.0,39.0,19.0,108.0,89.0
IL,Sangamon County,264.0,50.0,33.0,152.0,109.0
IL,Will County,219.0,46.0,14.0,126.0,93.0
IL,Winnebago County,406.0,98.0,42.0,216.0,190.0
IN,Marion,5449.0,1012.0,335.0,3214.0,2207.0
KS,Douglas County,929.0,147.0,64.0,472.0,445.0
KS,Johnson County,212.0,61.0,21.0,112.0,96.0
KS,Sedgwick County,690.0,110.0,47.0,469.0,216.0
KS,Shawnee County,1294.0,187.0,83.0,706.0,576.0
KY,Fayette County,715.0,76.0,32.0,471.0,239.0
KY,Franklin County,2189.0,363.0,162.0,1262.0,921.0
KY,Jefferson County,1080.0,169.0,85.0,676.0,395.0
LA,Caddo Parish,255.0,30.0,12.0,177.0,77.0
LA,East Baton Rouge Parish,4731.0,1766.0,50.0,2470.0,2249.0
LA,Lafayette Parish,351.0,100.0,21.0,196.0,152.0
LA,Orleans Parish,1214.0,75.0,103.0,879.0,322.0
LA,Ouachita Parish,136.0,45.0,7.0,77.0,59.0
LA,Rapides,75.0,20.0,8.0,41.0,32.0
LA,St. Tammany,611.0,226.0,10.0,304.0,307.0
LA,Tangipahoa Parish,611.0,226.0,10.0,304.0,307.0
MA,Barnstable County,397.0,92.0,13.0,214.0,183.0
MA,Bristol County,1024.0,380.0,67.0,498.0,525.0
MA,Essex County,851.0,458.0,56.0,387.0,443.0
MA,Franklin,542.0,92.0,41.0,322.0,210.0
MA,Hampden County,2294.0,1109.0,186.0,1086.0,1205.0
MA,Middlesex County,440.0,56.0,39.0,273.0,163.0
MA,Norfolk County,1008.0,349.0,59.0,502.0,503.0
MA,Suffolk County,7674.0,3049.0,612.0,3719.0,3930.0
MA,Worcester County,1277.0,392.0,114.0,668.0,600.0
MD,Anne Arundel County,307.0,70.0,15.0,176.0,130.0
MD,Baltimore,1597.0,205.0,69.0,1073.0,512.0
MD,Baltimore County,468.0,129.0,28.0,268.0,198.0
MD,Carroll County,76.0,12.0,6.0,45.0,30.0
MD,Frederick County,216.0,34.0,20.0,121.0,94.0
MD,Howard County,165.0,48.0,13.0,75.0,90.0
MD,Montgomery County,581.0,103.0,35.0,325.0,254.0
MD,Prince George's,1053.0,234.0,76.0,600.0,446.0
MD,Prince George's County,533.0,164.0,74.0,272.0,259.0
MD,Somerset,237.0,35.0,8.0,148.0,89.0
MD,Talbot County,116.0,46.0,10.0,71.0,44.0
ME,Kennebec County,4411.0,1073.0,290.0,2461.0,1883.0
MI,Calhoun,218.0,40.0,6.0,140.0,78.0
MI,Eaton,68.0,42.0,3.0,26.0,41.0
MI,Genesee County,360.0,60.0,25.0,213.0,146.0
MI,Grand Traverse,164.0,24.0,10.0,102.0,61.0
MI,Ingham County,2100.0,615.0,154.0,1117.0,976.0
MI,Jackson County,90.0,13.0,8.0,47.0,42.0
MI,Kalamazoo County,488.0,103.0,27.0,276.0,209.0
MI,Kent County,1044.0,255.0,102.0,657.0,374.0
MI,Lenawee County,158.0,49.0,12.0,81.0,77.0
MI,Livingston,97.0,38.0,5.0,31.0,65.0
MI,Macomb,272.0,80.0,14.0,144.0,128.0
MI,Monroe County,111.0,20.0,7.0,59.0,51.0
MI,Muskegon,135.0,36.0,13.0,60.0,75.0
MI,Oakland County,737.0,260.0,87.0,341.0,385.0
MI,Ottawa County,200.0,35.0,17.0,117.0,82.0
MI,Saginaw County,313.0,116.0,18.0,162.0,150.0
MI,Washtenaw County,211.0,36.0,18.0,129.0,79.0
MI,Wayne,166.0,68.0,5.0,88.0,100.0
MI,Wayne County,1691.0,423.0,139.0,987.0,698.0
MN,Beltrami,285.0,102.0,50.0,137.0,144.0
MN,Clay,253.0,94.0,30.0,130.0,122.0
MN,Goodhue,485.0,142.0,44.0,270.0,214.0
MN,Hennepin County,2791.0,703.0,256.0,1562.0,1207.0
MN,Murray,173.0,62.0,34.0,86.0,87.0
MN,Ramsey County,2572.0,537.0,231.0,1527.0,1027.0
MN,Saint Louis County,555.0,119.0,52.0,306.0,241.0
MN,Stearns,916.0,251.0,92.0,448.0,465.0
MO,Buchanan County,148.0,27.0,7.0,79.0,69.0
MO,Cape Girardeau County,1571.0,304.0,118.0,826.0,733.0
MO,Cole County,371.0,120.0,134.0,155.0,212.0
MO,Greene County,517.0,89.0,45.0,283.0,230.0
MO,Jasper County,231.0,33.0,10.0,150.0,80.0
MO,Pettis County,2088.0,393.0,163.0,1109.0,963.0
MO,St. Charles,850.0,262.0,64.0,394.0,444.0
MO,St. Louis,1518.0,303.0,237.0,902.0,599.0
MS,Harrison County,200.0,15.0,16.0,119.0,81.0
MS,Hinds County,996.0,55.0,109.0,617.0,364.0
MT,Richland,1585.0,264.0,121.0,914.0,660.0
NC,Buncombe County,637.0,30.0,29.0,442.0,191.0
NC,Cumberland County,475.0,30.0,1.0,307.0,168.0
NC,Durham County,459.0,75.0,24.0,281.0,175.0
NC,Forsyth County,858.0,134.0,56.0,558.0,300.0
NC,Gaston,497.0,68.0,33.0,279.0,214.0
NC,Guilford,426.0,63.0,31.0,270.0,154.0
NC,Guilford County,5019.0,1028.0,323.0,2843.0,2140.0
NC,Mecklenburg County,1761.0,335.0,70.0,1089.0,666.0
NC,New Hanover County,347.0,50.0,20.0,176.0,150.0
NC,Orange,133.0,13.0,3.0,88.0,44.0
NC,Wake County,4484.0,1043.0,329.0,2340.0,2109.0
NC,Watauga County,193.0,44.0,12.0,86.0,103.0
ND,Burleigh County,610.0,116.0,45.0,371.0,233.0
ND,Cass County,610.0,116.0,45.0,371.0,233.0
NE,Douglas County,1346.0,166.0,58.0,902.0,433.0
NE,Lancaster County,900.0,207.0,94.0,496.0,397.0
NH,Hillsborough County,1605.0,315.0,128.0,905.0,685.0
NH,Merrimack County,1605.0,315.0,128.0,905.0,685.0
NJ,Atlantic County,343.0,22.0,29.0,261.0,82.0
NJ,Bergen County,306.0,106.0,26.0,145.0,161.0
NJ,Burlington,585.0,169.0,42.0,310.0,275.0
NJ,Camden County,994.0,156.0,65.0,586.0,405.0
NJ,Essex County,1914.0,359.0,167.0,1132.0,776.0
NJ,Hudson County,665.0,81.0,39.0,458.0,206.0
NJ,Mercer County,7860.0,1589.0,585.0,4612.0,3232.0
NJ,Middlesex County,586.0,138.0,39.0,328.0,257.0
NJ,Monmouth,453.0,109.0,34.0,257.0,196.0
NJ,Morris County,351.0,90.0,24.0,203.0,147.0
NJ,Passaic County,374.0,66.0,18.0,249.0,125.0
NJ,Salem,20.0,6.0,2.0,14.0,6.0
NJ,Somerset,220.0,69.0,19.0,115.0,105.0
NJ,Sussex,314.0,59.0,15.0,140.0,173.0
NJ,Union,419.0,141.0,25.0,192.0,225.0
NJ,Union County,675.0,146.0,65.0,374.0,301.0
NM,Bernalillo County,2560.0,484.0,192.0,1575.0,945.0
NM,Santa Fe County,2560.0,484.0,192.0,1575.0,945.0
NV,Carson City,368.0,25.0,18.0,233.0,133.0
NV,Clark County,7618.0,522.0,392.0,5258.0,2292.0
NV,Washoe County,1605.0,147.0,60.0,1032.0,555.0
NY,Albany County,4379.0,881.0,406.0,2618.0,1737.0
NY,Broome County,483.0,80.0,43.0,313.0,169.0
NY,Buffalo,856.0,206.0,60.0,500.0,355.0
NY,Chautauqua,108.0,32.0,17.0,59.0,49.0
NY,Chemung County,497.0,93.0,63.0,288.0,209.0
NY,City of New York,62179.0,17080.0,5410.0,34849.0,26862.0
NY,Dutchess County,636.0,147.0,49.0,356.0,275.0
NY,Monroe,748.0,178.0,54.0,449.0,294.0
NY,Oneida County,244.0,45.0,26.0,157.0,85.0
NY,Onondaga County,712.0,152.0,71.0,426.0,280.0
NY,Ontario,372.0,85.0,29.0,209.0,162.0
NY,Suffolk,3034.0,1163.0,200.0,1521.0,1506.0
NY,Tompkins County,152.0,10.0,28.0,99.0,50.0
NY,Ulster County,409.0,105.0,38.0,220.0,187.0
NY,Westchester County,1356.0,498.0,96.0,724.0,630.0
OH,Cuyahoga County,1574.0,242.0,109.0,988.0,574.0
OH,Franklin County,5987.0,1240.0,547.0,3315.0,2631.0
OH,Hamilton County,1081.0,219.0,95.0,685.0,390.0
OH,Lucas County,494.0,131.0,31.0,257.0,236.0
OH,Mahoning County,174.0,38.0,13.0,97.0,76.0
OH,Montgomery County,656.0,79.0,101.0,382.0,270.0
OH,Stark County,247.0,90.0,7.0,120.0,125.0
OH,Summit County,441.0,59.0,27.0,307.0,132.0
OK,Cleveland County,197.0,28.0,6.0,121.0,74.0
OK,Comanche County,134.0,22.0,11.0,62.0,72.0
OK,Garfield County,805.0,161.0,68.0,438.0,362.0
OK,Haskell,310.0,42.0,39.0,181.0,128.0
OK,Oklahoma County,1536.0,180.0,121.0,967.0,555.0
OK,Tulsa County,1279.0,165.0,160.0,753.0,507.0
OK,Woodward,216.0,23.0,22.0,149.0,63.0
OR,Clackamas County,571.0,109.0,31.0,297.0,272.0
OR,Deschutes County,1359.0,222.0,107.0,794.0,548.0
OR,Jackson County,1251.0,161.0,89.0,789.0,446.0
OR,Lane County,2880.0,300.0,111.0,1812.0,1019.0
OR,Marion County,4057.0,673.0,248.0,2419.0,1586.0
OR,Multnomah County,5228.0,422.0,266.0,3175.0,1861.0
OR,Redmond,1359.0,222.0,107.0,794.0,548.0
OR,Washington County,1616.0,342.0,88.0,980.0,620.0
PA,Allegheny County,880.0,175.0,46.0,550.0,326.0
PA,Beaver,103.0,43.0,11.0,39.0,63.0
PA,Berks County,573.0,132.0,55.0,375.0,197.0
PA,Bucks,427.0,124.0,20.0,212.0,214.0
PA,Chester,402.0,99.0,11.0,256.0,146.0
PA,Dauphin County,3448.0,925.0,265.0,1847.0,1583.0
PA,Delaware,335.0,115.0,27.0,156.0,179.0
PA,Erie County,298.0,42.0,22.0,196.0,100.0
PA,Lackawanna County,188.0,51.0,20.0,114.0,73.0
PA,Lancaster County,472.0,170.0,30.0,200.0,268.0
PA,Luzerne County,150.0,41.0,19.0,69.0,81.0
PA,Montgomery County,568.0,156.0,22.0,289.0,277.0
PA,Philadelphia County,4489.0,784.0,366.0,2765.0,1702.0
PA,York,358.0,117.0,29.0,192.0,164.0
RI,Providence County,3154.0,634.0,202.0,1880.0,1244.0
SC,Charleston County,324.0,58.0,17.0,196.0,128.0
SC,Greenville County,1263.0,143.0,73.0,864.0,392.0
SC,Horry County,1034.0,207.0,81.0,533.0,494.0
SC,Richland County,987.0,131.0,80.0,642.0,338.0
SD,Hughe,1389.0,281.0,96.0,818.0,563.0
TN,Cumberland,382.0,85.0,19.0,186.0,196.0
TN,Davidson County,1916.0,148.0,95.0,1354.0,552.0
TN,East Tennessee,5158.0,712.0,333.0,2659.0,2488.0
TN,Middle Tennessee,758.0,132.0,38.0,413.0,341.0
TN,Washington County,392.0,43.0,25.0,253.0,139.0
TN,West Tennessee,1961.0,340.0,119.0,1242.0,705.0
TX,Brazos County,86.0,10.0,10.0,60.0,26.0
TX,El Paso County,836.0,209.0,62.0,513.0,322.0
TX,Harris County,3124.0,332.0,141.0,2098.0,1011.0
TX,McLennan County,195.0,50.0,9.0,121.0,74.0
TX,Potter County,661.0,115.0,25.0,406.0,251.0
TX,San Antonio,2995.0,413.0,156.0,1938.0,1039.0
TX,Tarrant County,1665.0,309.0,68.0,967.0,693.0
TX,Travis County,10211.0,1788.0,820.0,6071.0,4067.0
TX,Wichita County,249.0,20.0,19.0,151.0,94.0
UT,Salt Lake County,3557.0,697.0,235.0,2107.0,1420.0
UT,Utah County,241.0,57.0,6.0,158.0,81.0
VA,Alexandria,120.0,27.0,3.0,77.0,43.0
VA,Arlington County,182.0,29.0,11.0,123.0,58.0
VA,Charlottesville,266.0,20.0,7.0,163.0,93.0
VA,Culpeper County,1191.0,333.0,91.0,638.0,544.0
VA,Fredericksburg,253.0,65.0,21.0,143.0,109.0
VA,Hampton,419.0,87.0,26.0,244.0,175.0
VA,Harrisonburg,426.0,77.0,23.0,273.0,153.0
VA,Loudoun,99.0,22.0,6.0,51.0,47.0
VA,Loudoun County,99.0,22.0,6.0,51.0,47.0
VA,Lynchburg,84.0,10.0,9.0,51.0,33.0
VA,Norfolk,1629.0,322.0,81.0,972.0,645.0
VA,Portsmouth City,120.0,42.0,4.0,63.0,57.0
VA,Prince William,241.0,66.0,12.0,135.0,103.0
VA,Richmond,1822.0,427.0,139.0,1100.0,706.0
VA,Roanoke,216.0,20.0,10.0,127.0,87.0
VA,Virginia Beach,352.0,92.0,22.0,178.0,164.0
VT,Chittenden County,668.0,80.0,33.0,385.0,275.0
VT,Washington,2112.0,401.0,188.0,1158.0,944.0
WA,Clark County,1197.0,230.0,74.0,678.0,505.0
WA,King County,13368.0,2263.0,850.0,8696.0,4231.0
WA,Pierce County,1851.0,200.0,99.0,1116.0,704.0
WA,Snohomish County,1184.0,182.0,71.0,700.0,467.0
WA,Spokane County,1757.0,182.0,130.0,1112.0,621.0
WA,Thurston County,5854.0,987.0,437.0,3405.0,2399.0
WI,Dane County,4775.0,1228.0,311.0,2651.0,2098.0
WI,Eau Claire County,3049.0,874.0,190.0,1597.0,1437.0
WI,Milwaukee County,832.0,170.0,61.0,538.0,289.0
WI,Racine County,193.0,53.0,11.0,110.0,82.0
WV,Cabell County,235.0,12.0,18.0,155.0,80.0
WV,Harrison,720.0,47.0,74.0,424.0,287.0
WV,Kanawha County,298.0,28.0,19.0,181.0,114.0
WV,Ohio County,122.0,3.0,20.0,69.0,50.0
WY,Albany County,648.0,106.0,79.0,390.0,256.0
WY,Laramie County,648.0,106.0,79.0,390.0,256.0
